sentence,disease
"I'm experiencing symptoms like loss of balance, headache, spinning movements and nausea.",(vertigo) Paroymsal  Positional Vertigo
"I think I’m having yellowing of eyes, yellowish skin and dark urine.",hepatitis A
I think I’m having slurred speech and irritability.,Hypoglycemia
"I have been suffering from nausea, stomach bleeding, fatigue, dark urine and coma.",Hepatitis E
"Recently, I noticed back pain, dizziness, loss of balance, neck pain and weakness in limbs.",Cervical spondylosis
I'm experiencing symptoms like sunken eyes and dehydration.,Gastroenteritis
"These days I feel cough, swelled lymph nodes and throat irritation.",Common Cold
"I'm experiencing symptoms like toxic look (typhos), constipation, nausea, chills and diarrhoea.",Typhoid
"Recently, I noticed loss of appetite, vomiting, indigestion and abdominal pain.",Peptic ulcer diseae
"My body is showing signs of yellowing of eyes, joint pain, stomach bleeding, abdominal pain and dark urine.",Hepatitis E
"I have been suffering from foul smell of urine, continuous feel of urine and bladder discomfort.",Urinary tract infection
"I’ve had yellow crust ooze, skin rash, red sore around nose and blister for a few days.",Impetigo
Troubled by red sore around nose and skin rash lately.,Impetigo
"I have been suffering from abnormal menstruation, mood swings and excessive hunger.",Hyperthyroidism
"These days I feel dark urine, abdominal pain, vomiting, high fever and yellowish skin.",Jaundice
"I think I’m having fatigue, nausea, family history, loss of appetite and yellowish skin.",Hepatitis C
"I have been suffering from altered sensorium, vomiting, weakness of one body side and headache.",Paralysis (brain hemorrhage)
"My body is showing signs of burning micturition, skin rash, spotting  urination and stomach pain.",Drug Reaction
"I'm experiencing symptoms like silver like dusting, skin rash and joint pain.",Psoriasis
"I feel discomfort due to redness of eyes, headache, cough and runny nose.",Common Cold
"I think I’m having nausea, vomiting, loss of balance and headache.",(vertigo) Paroymsal  Positional Vertigo
I think I’m having mild fever and fatigue.,Chicken pox
"I'm experiencing symptoms like hip joint pain, neck pain, painful walking and knee pain.",Osteoarthristis
"My body is showing signs of prominent veins on calf, swollen legs and obesity.",Varicose veins
My body is showing signs of vomiting and breathlessness.,Heart attack
I'm experiencing symptoms like fatigue and phlegm.,Pneumonia
"I think I’m having swelling joints, stiff neck, muscle weakness, movement stiffness and painful walking.",Arthritis
"I’ve had muscle pain, diarrhoea, nausea and high fever for a few days.",Malaria
"I think I’m having irritation in anus, bloody stool and constipation.",Dimorphic hemmorhoids(piles)
"My body is showing signs of shivering, chills and watering from eyes.",Allergy
These days I feel high fever and fatigue.,Bronchial Asthma
"My body is showing signs of sweating, chills, high fever and nausea.",Malaria
"Troubled by extra marital contacts, high fever, patches in throat and muscle wasting lately.",AIDS
"I have been suffering from red spots over body, skin rash, back pain, headache and fatigue.",Dengue
"Troubled by abdominal pain, yellowing of eyes and dark urine lately.",hepatitis A
"These days I feel abdominal pain, vomiting, indigestion and internal itching.",Peptic ulcer diseae
My body is showing signs of enlarged thyroid and abnormal menstruation.,Hypothyroidism
Symptoms such as lethargy and red spots over body are bothering me.,Chicken pox
These days I feel itching and skin rash.,Fungal infection
I have been suffering from weight loss and dark urine.,Jaundice
"Recently, I noticed nausea and yellowing of eyes.",Hepatitis C
"Symptoms such as pus filled pimples, skin rash, blackheads and scurring are bothering me.",Acne
"My body is showing signs of fast heart rate, phlegm and chest pain.",Pneumonia
"Recently, I noticed distention of abdomen, fluid overload and yellowish skin.",Alcoholic hepatitis
I have been suffering from yellowing of eyes and joint pain.,Hepatitis D
"I think I’m having nausea, loss of appetite and fatigue.",Hepatitis C
"I'm experiencing symptoms like rusty sputum, fast heart rate, high fever and cough.",Pneumonia
"Recently, I noticed muscle weakness and diarrhoea.",Hyperthyroidism
"I think I’m having redness of eyes, headache and congestion.",Common Cold
"My body is showing signs of dark urine, weight loss, yellowish skin, itching and high fever.",Jaundice
"My body is showing signs of muscle pain, high fever, nausea and vomiting.",Malaria
"I think I’m having cough, high fever, breathlessness, mucoid sputum and family history.",Bronchial Asthma
I’ve had redness of eyes and swelled lymph nodes for a few days.,Common Cold
"I think I’m having skin rash, yellow crust ooze, blister and high fever.",Impetigo
Troubled by headache and malaise lately.,Common Cold
"I think I’m having painful walking, stiff neck and swelling joints.",Arthritis
"Recently, I noticed sweating, nausea and diarrhoea.",Malaria
"Symptoms such as dehydration, vomiting and sunken eyes are bothering me.",Gastroenteritis
"Symptoms such as scurring, skin rash, pus filled pimples and blackheads are bothering me.",Acne
"My body is showing signs of extra marital contacts, patches in throat and high fever.",AIDS
Troubled by dark urine and yellowish skin lately.,Hepatitis B
"I feel discomfort due to dischromic  patches, skin rash and nodal skin eruptions.",Fungal infection
I think I’m having blackheads and pus filled pimples.,Acne
"Recently, I noticed joint pain, vomiting and loss of appetite.",Hepatitis D
"I'm experiencing symptoms like skin rash, itching, stomach pain and burning micturition.",Drug Reaction
"I think I’m having weight loss, loss of appetite, swelled lymph nodes, mild fever and chills.",Tuberculosis
"I think I’m having cough, chest pain, acidity and vomiting.",GERD
"I'm experiencing symptoms like nausea, headache, loss of balance and spinning movements.",(vertigo) Paroymsal  Positional Vertigo
"Recently, I noticed watering from eyes, shivering and continuous sneezing.",Allergy
"I feel discomfort due to inflammatory nails, skin rash and small dents in nails.",Psoriasis
"Recently, I noticed mild fever, nausea, diarrhoea and yellowing of eyes.",hepatitis A
"These days I feel yellow crust ooze, high fever, skin rash and blister.",Impetigo
"I feel discomfort due to abdominal pain, vomiting, yellowing of eyes, mild fever and muscle pain.",hepatitis A
"These days I feel mucoid sputum, cough and fatigue.",Bronchial Asthma
"I feel discomfort due to headache, congestion, loss of smell, muscle pain and continuous sneezing.",Common Cold
I feel discomfort due to palpitations and vomiting.,Hypoglycemia
"I’ve had nausea, loss of appetite, dark urine, muscle pain and abdominal pain for a few days.",hepatitis A
"I’ve had loss of appetite, headache and mild fever for a few days.",Chicken pox
"I’ve had vomiting, high fever, dark urine, abdominal pain and itching for a few days.",Jaundice
"Symptoms such as yellowish skin, abdominal pain and fatigue are bothering me.",Hepatitis D
"I'm experiencing symptoms like vomiting, unsteadiness, nausea, loss of balance and spinning movements.",(vertigo) Paroymsal  Positional Vertigo
"Troubled by yellow urine, receiving blood transfusion, yellowing of eyes and yellowish skin lately.",Hepatitis B
"These days I feel skin rash, small dents in nails and inflammatory nails.",Psoriasis
"I feel discomfort due to malaise, runny nose and throat irritation.",Common Cold
"I’ve had distention of abdomen, vomiting, abdominal pain and fluid overload for a few days.",Alcoholic hepatitis
"I have been suffering from muscle wasting, high fever and patches in throat.",AIDS
I’ve had shivering and chills for a few days.,Allergy
I'm experiencing symptoms like itching and lethargy.,Hepatitis B
"Symptoms such as spotting  urination, skin rash, burning micturition, itching and stomach pain are bothering me.",Drug Reaction
"Recently, I noticed high fever and headache.",Malaria
"I think I’m having indigestion, acidity, visual disturbances and blurred and distorted vision.",Migraine
"I have been suffering from diarrhoea, high fever, muscle pain, vomiting and chills.",Malaria
"I’ve had chills, nausea, red spots over body and malaise for a few days.",Dengue
I think I’m having headache and nausea.,(vertigo) Paroymsal  Positional Vertigo
"Recently, I noticed passage of gases, indigestion, loss of appetite, internal itching and abdominal pain.",Peptic ulcer diseae
"My body is showing signs of lack of concentration, loss of balance and chest pain.",Hypertension 
"I'm experiencing symptoms like sweating, diarrhoea, headache and high fever.",Malaria
"I feel discomfort due to pain during bowel movements, pain in anal region, irritation in anus and bloody stool.",Dimorphic hemmorhoids(piles)
I’ve had vomiting and abdominal pain for a few days.,Hepatitis D
"Recently, I noticed malaise, sweating, chills and high fever.",Pneumonia
These days I feel joint pain and knee pain.,Osteoarthristis
"I’ve had drying and tingling lips, nausea, palpitations and anxiety for a few days.",Hypoglycemia
"These days I feel receiving blood transfusion, dark urine, yellow urine and lethargy.",Hepatitis B
"Recently, I noticed abdominal pain and chills.",Typhoid
"I feel discomfort due to weight loss, irregular sugar level, lethargy and obesity.",Diabetes 
I feel discomfort due to stomach bleeding and joint pain.,Hepatitis E
Troubled by skin rash and itching lately.,Drug Reaction
"I’ve had loss of balance, chest pain, dizziness and lack of concentration for a few days.",Hypertension 
"I feel discomfort due to slurred speech, anxiety, drying and tingling lips and blurred and distorted vision.",Hypoglycemia
Troubled by sunken eyes and dehydration lately.,Gastroenteritis
"I’ve had yellow urine, malaise, itching, abdominal pain and receiving blood transfusion for a few days.",Hepatitis B
I feel discomfort due to vomiting and dark urine.,Jaundice
I'm experiencing symptoms like congestion and loss of smell.,Common Cold
"I’ve had fatigue, headache, vomiting, toxic look (typhos) and belly pain for a few days.",Typhoid
"Symptoms such as neck pain, loss of balance and dizziness are bothering me.",Cervical spondylosis
"Recently, I noticed constipation, pain in anal region and pain during bowel movements.",Dimorphic hemmorhoids(piles)
"Symptoms such as high fever, blister, yellow crust ooze, red sore around nose and skin rash are bothering me.",Impetigo
"These days I feel chills, shivering and continuous sneezing.",Allergy
"Symptoms such as back pain, weakness in limbs, neck pain, dizziness and loss of balance are bothering me.",Cervical spondylosis
"I think I’m having polyuria, increased appetite, irregular sugar level, excessive hunger and obesity.",Diabetes 
"Troubled by nausea, yellowish skin, loss of appetite and vomiting lately.",Chronic cholestasis
"These days I feel fast heart rate, excessive hunger, fatigue, irritability and mood swings.",Hyperthyroidism
"I feel discomfort due to loss of appetite, red spots over body, skin rash, high fever and malaise.",Dengue
"Recently, I noticed headache, spinning movements and nausea.",(vertigo) Paroymsal  Positional Vertigo
Troubled by dizziness and back pain lately.,Cervical spondylosis
These days I feel yellowish skin and weight loss.,Jaundice
"I think I’m having lethargy, high fever, red spots over body, loss of appetite and malaise.",Chicken pox
I'm experiencing symptoms like pus filled pimples and skin rash.,Acne
"Symptoms such as vomiting, fatigue, high fever, loss of appetite and yellowing of eyes are bothering me.",Hepatitis E
"I think I’m having vomiting, red spots over body and chills.",Dengue
"Symptoms such as vomiting, headache, spinning movements, nausea and unsteadiness are bothering me.",(vertigo) Paroymsal  Positional Vertigo
I have been suffering from yellowish skin and fatigue.,Hepatitis C
"Recently, I noticed excessive hunger and restlessness.",Diabetes 
"These days I feel yellowish skin, vomiting and fatigue.",Hepatitis D
"I think I’m having muscle pain, vomiting and diarrhoea.",Malaria
"Symptoms such as nodal skin eruptions, skin rash and dischromic  patches are bothering me.",Fungal infection
"I'm experiencing symptoms like yellow crust ooze, red sore around nose and blister.",Impetigo
I feel discomfort due to family history and fatigue.,Hepatitis C
"Symptoms such as indigestion, vomiting, loss of appetite and internal itching are bothering me.",Peptic ulcer diseae
"Recently, I noticed fatigue, swollen extremeties and puffy face and eyes.",Hypothyroidism
"Recently, I noticed back pain, dizziness and loss of balance.",Cervical spondylosis
"Symptoms such as headache, fatigue, red spots over body and itching are bothering me.",Chicken pox
"I’ve had fatigue, loss of appetite, yellowish skin, receiving unsterile injections and dark urine for a few days.",Hepatitis B
"Symptoms such as family history, yellowing of eyes, loss of appetite, nausea and yellowish skin are bothering me.",Hepatitis C
"I feel discomfort due to sunken eyes, dehydration and vomiting.",Gastroenteritis
"I think I’m having high fever, red sore around nose, skin rash, yellow crust ooze and blister.",Impetigo
Symptoms such as vomiting and abdominal pain are bothering me.,Hepatitis D
"Recently, I noticed obesity, swollen blood vessels, bruising, swollen legs and fatigue.",Varicose veins
"My body is showing signs of vomiting, blurred and distorted vision, slurred speech, sweating and drying and tingling lips.",Hypoglycemia
"These days I feel sweating, diarrhoea, restlessness and fatigue.",Hyperthyroidism
"I have been suffering from blurred and distorted vision, polyuria and excessive hunger.",Diabetes 
"I'm experiencing symptoms like yellow crust ooze, blister and red sore around nose.",Impetigo
"These days I feel restlessness, blurred and distorted vision, weight loss and increased appetite.",Diabetes 
"Troubled by stomach pain, vomiting and chest pain lately.",GERD
"My body is showing signs of watering from eyes, chills, continuous sneezing and shivering.",Allergy
I feel discomfort due to skin rash and dischromic  patches.,Fungal infection
"My body is showing signs of bladder discomfort, foul smell of urine, continuous feel of urine and burning micturition.",Urinary tract infection
I think I’m having weight loss and lethargy.,Diabetes 
"Troubled by chest pain, vomiting and breathlessness lately.",Heart attack
"I think I’m having watering from eyes, chills and continuous sneezing.",Allergy
"Symptoms such as high fever, mucoid sputum and fatigue are bothering me.",Bronchial Asthma
"I think I’m having movement stiffness, stiff neck, swelling joints and painful walking.",Arthritis
I think I’m having dischromic  patches and nodal skin eruptions.,Fungal infection
I think I’m having hip joint pain and knee pain.,Osteoarthristis
Symptoms such as mild fever and loss of appetite are bothering me.,Tuberculosis
"I’ve had dischromic  patches, skin rash and itching for a few days.",Fungal infection
"I'm experiencing symptoms like swelling joints, neck pain, hip joint pain, knee pain and joint pain.",Osteoarthristis
"I think I’m having nausea, unsteadiness, loss of balance, vomiting and headache.",(vertigo) Paroymsal  Positional Vertigo
"Recently, I noticed knee pain, hip joint pain and joint pain.",Osteoarthristis
"I feel discomfort due to yellow crust ooze, high fever, blister and skin rash.",Impetigo
"I feel discomfort due to loss of balance, dizziness, weakness in limbs, neck pain and back pain.",Cervical spondylosis
I think I’m having vomiting and chills.,Malaria
"Troubled by itching, red spots over body and skin rash lately.",Chicken pox
"I think I’m having weight loss, restlessness and irritability.",Hyperthyroidism
"I’ve had neck pain, back pain and loss of balance for a few days.",Cervical spondylosis
I think I’m having weakness in limbs and back pain.,Cervical spondylosis
"I’ve had nausea, loss of appetite, fatigue, yellowing of eyes and family history for a few days.",Hepatitis C
"My body is showing signs of weight loss, chills, malaise, mild fever and vomiting.",Tuberculosis
"Recently, I noticed abdominal pain and distention of abdomen.",Alcoholic hepatitis
Troubled by sweating and vomiting lately.,Heart attack
"I’ve had skin peeling, joint pain and inflammatory nails for a few days.",Psoriasis
"Recently, I noticed obesity, fatigue, prominent veins on calf, bruising and swollen blood vessels.",Varicose veins
"I’ve had itching, spotting  urination and stomach pain for a few days.",Drug Reaction
These days I feel vomiting and breathlessness.,Heart attack
"Troubled by continuous sneezing, watering from eyes and shivering lately.",Allergy
"My body is showing signs of vomiting, nausea, yellowing of eyes and abdominal pain.",Chronic cholestasis
Symptoms such as vomiting and stomach pain are bothering me.,GERD
"I feel discomfort due to muscle weakness, abnormal menstruation, restlessness, fatigue and weight loss.",Hyperthyroidism
"I feel discomfort due to headache, altered sensorium and weakness of one body side.",Paralysis (brain hemorrhage)
"I'm experiencing symptoms like itching, nodal skin eruptions and dischromic  patches.",Fungal infection
"Troubled by cough, family history, breathlessness and fatigue lately.",Bronchial Asthma
"Troubled by bruising, cramps, swollen blood vessels and prominent veins on calf lately.",Varicose veins
"I feel discomfort due to fatigue, brittle nails, swollen extremeties and irritability.",Hypothyroidism
"These days I feel lethargy, mild fever, malaise and red spots over body.",Chicken pox
Symptoms such as history of alcohol consumption and distention of abdomen are bothering me.,Alcoholic hepatitis
Troubled by indigestion and loss of appetite lately.,Peptic ulcer diseae
"I'm experiencing symptoms like sweating, vomiting and chest pain.",Heart attack
"I think I’m having swelling joints, stiff neck and movement stiffness.",Arthritis
I have been suffering from blister and yellow crust ooze.,Impetigo
"My body is showing signs of patches in throat, muscle wasting, extra marital contacts and high fever.",AIDS
"My body is showing signs of visual disturbances, acidity, irritability and blurred and distorted vision.",Migraine
"I think I’m having depression, indigestion, acidity, excessive hunger and visual disturbances.",Migraine
Troubled by patches in throat and extra marital contacts lately.,AIDS
I have been suffering from shivering and chills.,Allergy
"I feel discomfort due to headache, muscle pain, diarrhoea and high fever.",Malaria
I’ve had excessive hunger and mood swings for a few days.,Hyperthyroidism
"I feel discomfort due to excessive hunger, vomiting and nausea.",Hypoglycemia
"I think I’m having red spots over body, muscle pain, joint pain, high fever and skin rash.",Dengue
"Symptoms such as depression, stiff neck and blurred and distorted vision are bothering me.",Migraine
"I feel discomfort due to cough, acidity, chest pain, vomiting and ulcers on tongue.",GERD
"I have been suffering from altered sensorium, vomiting and headache.",Paralysis (brain hemorrhage)
"My body is showing signs of vomiting, chills, diarrhoea and sweating.",Malaria
I'm experiencing symptoms like small dents in nails and silver like dusting.,Psoriasis
"My body is showing signs of continuous feel of urine, bladder discomfort, burning micturition and foul smell of urine.",Urinary tract infection
I feel discomfort due to chest pain and dizziness.,Hypertension 
"My body is showing signs of irregular sugar level, polyuria and blurred and distorted vision.",Diabetes 
I feel discomfort due to slurred speech and irritability.,Hypoglycemia
"Recently, I noticed spinning movements, nausea, loss of balance and vomiting.",(vertigo) Paroymsal  Positional Vertigo
"I'm experiencing symptoms like headache, muscle pain, red spots over body and skin rash.",Dengue
"Troubled by fatigue, breathlessness, high fever, cough and mucoid sputum lately.",Bronchial Asthma
"I'm experiencing symptoms like continuous feel of urine, foul smell of urine and bladder discomfort.",Urinary tract infection
"Troubled by muscle weakness, painful walking, movement stiffness and swelling joints lately.",Arthritis
"My body is showing signs of excessive hunger, anxiety, blurred and distorted vision and fatigue.",Hypoglycemia
"I have been suffering from foul smell of urine, burning micturition and bladder discomfort.",Urinary tract infection
"Recently, I noticed cough, family history, high fever, mucoid sputum and breathlessness.",Bronchial Asthma
"Troubled by muscle pain, diarrhoea, vomiting, nausea and chills lately.",Malaria
"I feel discomfort due to abdominal pain, loss of appetite, yellowing of eyes and joint pain.",Hepatitis D
"I think I’m having constipation, toxic look (typhos), abdominal pain, nausea and high fever.",Typhoid
"I'm experiencing symptoms like knee pain, neck pain, painful walking, joint pain and hip joint pain.",Osteoarthristis
"My body is showing signs of vomiting, dehydration and sunken eyes.",Gastroenteritis
"My body is showing signs of nodal skin eruptions, itching, dischromic  patches and skin rash.",Fungal infection
"I’ve had small dents in nails, skin peeling, joint pain, silver like dusting and inflammatory nails for a few days.",Psoriasis
Troubled by sweating and diarrhoea lately.,Hyperthyroidism
"Troubled by joint pain, neck pain, painful walking and knee pain lately.",Osteoarthristis
"My body is showing signs of loss of balance, dizziness and back pain.",Cervical spondylosis
"My body is showing signs of fatigue, vomiting and abdominal pain.",Hepatitis D
"Troubled by yellow urine, loss of appetite, lethargy, yellowing of eyes and receiving unsterile injections lately.",Hepatitis B
"Symptoms such as headache, chest pain and loss of balance are bothering me.",Hypertension 
I'm experiencing symptoms like vomiting and sunken eyes.,Gastroenteritis
"Troubled by abdominal pain, dark urine, loss of appetite and yellowish skin lately.",Hepatitis D
"These days I feel vomiting, yellowing of eyes, abdominal pain and loss of appetite.",Hepatitis D
"My body is showing signs of vomiting, abdominal pain, belly pain, chills and high fever.",Typhoid
"Symptoms such as depression, blurred and distorted vision, headache and acidity are bothering me.",Migraine
Symptoms such as chills and muscle pain are bothering me.,Common Cold
"Recently, I noticed weakness of one body side, vomiting and altered sensorium.",Paralysis (brain hemorrhage)
"Symptoms such as itching, fatigue, headache, malaise and swelled lymph nodes are bothering me.",Chicken pox
"My body is showing signs of vomiting, sweating and headache.",Hypoglycemia
"I'm experiencing symptoms like hip joint pain, swelling joints, joint pain, painful walking and neck pain.",Osteoarthristis
"Recently, I noticed vomiting, diarrhoea, sweating, muscle pain and nausea.",Malaria
I think I’m having yellowing of eyes and nausea.,Hepatitis C
"Symptoms such as malaise, lethargy, itching and headache are bothering me.",Chicken pox
"Recently, I noticed watering from eyes and chills.",Allergy
"I’ve had fatigue, loss of appetite, yellowish skin, family history and yellowing of eyes for a few days.",Hepatitis C
I'm experiencing symptoms like high fever and family history.,Bronchial Asthma
"These days I feel breathlessness, sweating, mild fever and phlegm.",Tuberculosis
"Recently, I noticed slurred speech and vomiting.",Hypoglycemia
"I’ve had high fever, joint pain, loss of appetite and vomiting for a few days.",Dengue
"I'm experiencing symptoms like nausea, muscle pain and skin rash.",Dengue
These days I feel high fever and nausea.,Typhoid
I think I’m having vomiting and nausea.,Chronic cholestasis
"I feel discomfort due to chills, watering from eyes and continuous sneezing.",Allergy
"My body is showing signs of nausea, constipation and fatigue.",Typhoid
"My body is showing signs of dizziness, headache, loss of balance and lack of concentration.",Hypertension 
I'm experiencing symptoms like blurred and distorted vision and restlessness.,Diabetes 
"I’ve had vomiting, internal itching, abdominal pain, indigestion and loss of appetite for a few days.",Peptic ulcer diseae
"My body is showing signs of diarrhoea, constipation and nausea.",Typhoid
"I'm experiencing symptoms like dehydration, vomiting and diarrhoea.",Gastroenteritis
"These days I feel joint pain, vomiting, high fever, loss of appetite and headache.",Dengue
"Troubled by nausea, muscle pain, joint pain and diarrhoea lately.",hepatitis A
"Symptoms such as stomach pain, acidity and ulcers on tongue are bothering me.",GERD
"I’ve had fatigue, loss of appetite, vomiting, yellowish skin and joint pain for a few days.",Hepatitis D
"My body is showing signs of breathlessness, fatigue, cough, mucoid sputum and family history.",Bronchial Asthma
"I think I’m having scurring, skin rash and blackheads.",Acne
"Troubled by abdominal pain, dark urine and yellowish skin lately.",Hepatitis D
Troubled by nausea and joint pain lately.,Hepatitis D
"Recently, I noticed stiff neck, movement stiffness and muscle weakness.",Arthritis
"I’ve had pain during bowel movements, constipation and pain in anal region for a few days.",Dimorphic hemmorhoids(piles)
"I’ve had itching, weight loss, vomiting, dark urine and abdominal pain for a few days.",Jaundice
"These days I feel nodal skin eruptions, dischromic  patches and itching.",Fungal infection
"I’ve had abdominal pain, swelling of stomach, vomiting, fluid overload and yellowish skin for a few days.",Alcoholic hepatitis
"Troubled by skin rash, blackheads and pus filled pimples lately.",Acne
"Troubled by depression, puffy face and eyes, abnormal menstruation and swollen extremeties lately.",Hypothyroidism
"I’ve had loss of appetite, abdominal pain, vomiting and nausea for a few days.",Hepatitis D
Troubled by abdominal pain and vomiting lately.,Peptic ulcer diseae
"I feel discomfort due to stiff neck, movement stiffness, painful walking, swelling joints and muscle weakness.",Arthritis
"I feel discomfort due to stomach bleeding, acute liver failure, vomiting and abdominal pain.",Hepatitis E
My body is showing signs of muscle pain and headache.,Common Cold
I have been suffering from high fever and malaise.,Chicken pox
"Recently, I noticed nausea, yellowing of eyes and yellowish skin.",hepatitis A
I feel discomfort due to high fever and patches in throat.,AIDS
"I feel discomfort due to skin rash, pus filled pimples and blackheads.",Acne
I’ve had bruising and swollen blood vessels for a few days.,Varicose veins
"My body is showing signs of cough, chest pain, congestion and loss of smell.",Common Cold
These days I feel sunken eyes and diarrhoea.,Gastroenteritis
"I'm experiencing symptoms like yellowish skin, vomiting, nausea, itching and loss of appetite.",Chronic cholestasis
"Symptoms such as yellowing of eyes, vomiting and abdominal pain are bothering me.",Chronic cholestasis
"I’ve had abdominal pain, yellowish skin, fatigue and dark urine for a few days.",Jaundice
"I'm experiencing symptoms like breathlessness, sweating and chest pain.",Heart attack
"I think I’m having watering from eyes, continuous sneezing and shivering.",Allergy
Troubled by weight loss and blurred and distorted vision lately.,Diabetes 
"Troubled by diarrhoea, headache, nausea and sweating lately.",Malaria
"I have been suffering from abdominal pain, yellowish skin, loss of appetite, malaise and yellow urine.",Hepatitis B
I have been suffering from knee pain and swelling joints.,Osteoarthristis
"My body is showing signs of puffy face and eyes, mood swings, brittle nails, irritability and swollen extremeties.",Hypothyroidism
"I have been suffering from watering from eyes, chills, continuous sneezing and shivering.",Allergy
These days I feel dehydration and diarrhoea.,Gastroenteritis
"These days I feel bloody stool, constipation, pain in anal region and irritation in anus.",Dimorphic hemmorhoids(piles)
"I feel discomfort due to high fever, redness of eyes and headache.",Common Cold
"I’ve had abdominal pain, nausea, yellowing of eyes and itching for a few days.",Chronic cholestasis
"Troubled by restlessness, excessive hunger and diarrhoea lately.",Hyperthyroidism
"I have been suffering from vomiting, acidity and chest pain.",GERD
"I feel discomfort due to stomach bleeding, coma, acute liver failure, high fever and nausea.",Hepatitis E
"I have been suffering from joint pain, small dents in nails, skin peeling, silver like dusting and skin rash.",Psoriasis
"I feel discomfort due to chest pain, acidity, vomiting, ulcers on tongue and cough.",GERD
"My body is showing signs of mild fever, yellowing of eyes, high fever and breathlessness.",Tuberculosis
These days I feel loss of appetite and swelled lymph nodes.,Chicken pox
"I’ve had yellowish skin, yellowing of eyes, nausea and loss of appetite for a few days.",Hepatitis C
"I’ve had nausea, headache, spinning movements, unsteadiness and loss of balance for a few days.",(vertigo) Paroymsal  Positional Vertigo
I think I’m having patches in throat and muscle wasting.,AIDS
I'm experiencing symptoms like continuous feel of urine and burning micturition.,Urinary tract infection
I have been suffering from runny nose and loss of smell.,Common Cold
"My body is showing signs of weight loss, vomiting and itching.",Jaundice
"Recently, I noticed rusty sputum, sweating, chest pain, cough and malaise.",Pneumonia
"These days I feel fluid overload, yellowish skin and abdominal pain.",Alcoholic hepatitis
"My body is showing signs of skin peeling, inflammatory nails, joint pain, small dents in nails and skin rash.",Psoriasis
"Symptoms such as swollen extremeties, depression, brittle nails and abnormal menstruation are bothering me.",Hypothyroidism
"My body is showing signs of swelling of stomach, distention of abdomen, abdominal pain and vomiting.",Alcoholic hepatitis
"I have been suffering from headache, joint pain and back pain.",Dengue
Troubled by lethargy and skin rash lately.,Chicken pox
"I think I’m having chest pain, vomiting, sweating and breathlessness.",Heart attack
"Troubled by breathlessness, sweating and chest pain lately.",Heart attack
Troubled by nausea and vomiting lately.,Malaria
"Recently, I noticed burning micturition, stomach pain, skin rash and itching.",Drug Reaction
"I have been suffering from brittle nails, lethargy, swollen extremeties, depression and enlarged thyroid.",Hypothyroidism
"These days I feel unsteadiness, nausea and headache.",(vertigo) Paroymsal  Positional Vertigo
I'm experiencing symptoms like yellowing of eyes and breathlessness.,Tuberculosis
I feel discomfort due to indigestion and vomiting.,Peptic ulcer diseae
"I have been suffering from bloody stool, pain in anal region and constipation.",Dimorphic hemmorhoids(piles)
"These days I feel fatigue, bruising, prominent veins on calf and obesity.",Varicose veins
"Recently, I noticed mild fever, loss of appetite and swelled lymph nodes.",Chicken pox
"Symptoms such as receiving unsterile injections, abdominal pain and lethargy are bothering me.",Hepatitis B
These days I feel dark urine and yellowish skin.,hepatitis A
"I feel discomfort due to high fever, red spots over body and malaise.",Chicken pox
"I have been suffering from loss of appetite, nausea, joint pain, malaise and vomiting.",Dengue
"Recently, I noticed high fever, muscle pain and sweating.",Malaria
"I think I’m having lethargy, cold hands and feets and enlarged thyroid.",Hypothyroidism
"Troubled by vomiting, abdominal pain, yellowish skin and dark urine lately.",hepatitis A
"My body is showing signs of dizziness, headache, chest pain, loss of balance and lack of concentration.",Hypertension 
"I have been suffering from painful walking, movement stiffness, stiff neck and swelling joints.",Arthritis
"I have been suffering from loss of appetite, stomach bleeding, dark urine, nausea and fatigue.",Hepatitis E
"I think I’m having stomach pain, burning micturition, itching, spotting  urination and skin rash.",Drug Reaction
Troubled by congestion and chills lately.,Common Cold
"I’ve had yellowish skin, nausea, yellowing of eyes, diarrhoea and loss of appetite for a few days.",hepatitis A
"I’ve had swollen legs, fatigue, cramps and swollen blood vessels for a few days.",Varicose veins
I’ve had fatigue and yellowing of eyes for a few days.,Hepatitis C
"I think I’m having extra marital contacts, high fever and patches in throat.",AIDS
"Symptoms such as painful walking, swelling joints, joint pain, neck pain and knee pain are bothering me.",Osteoarthristis
"Recently, I noticed fluid overload, vomiting and abdominal pain.",Alcoholic hepatitis
"I'm experiencing symptoms like obesity, blurred and distorted vision, weight loss and lethargy.",Diabetes 
"I’ve had abdominal pain, vomiting, passage of gases and internal itching for a few days.",Peptic ulcer diseae
"Recently, I noticed blister, yellow crust ooze, red sore around nose and skin rash.",Impetigo
"I’ve had mild fever, loss of appetite, chills, blood in sputum and cough for a few days.",Tuberculosis
"Troubled by loss of balance, neck pain, dizziness, back pain and weakness in limbs lately.",Cervical spondylosis
"I feel discomfort due to vomiting, dark urine and joint pain.",hepatitis A
"Troubled by yellow crust ooze, skin rash and blister lately.",Impetigo
"I’ve had cough, fatigue and family history for a few days.",Bronchial Asthma
"Recently, I noticed lack of concentration, loss of balance, chest pain and headache.",Hypertension 
I'm experiencing symptoms like continuous feel of urine and bladder discomfort.,Urinary tract infection
"My body is showing signs of fatigue, swollen legs and swollen blood vessels.",Varicose veins
"I’ve had loss of appetite, abdominal pain, yellowing of eyes, itching and yellowish skin for a few days.",Chronic cholestasis
"These days I feel extra marital contacts, patches in throat, muscle wasting and high fever.",AIDS
